id,latitude,longitude,track_id,time
1,-10.93934139,-37.06274211,1,2014/9/13 7:24
2,-10.93934139,-37.06274211,1,2014/9/13 7:24
3,-10.93932395,-37.06276451,1,2014/9/13 7:24
4,-10.93921056,-37.06284305,1,2014/9/13 7:24
5,-10.93893898,-37.0628786,1,2014/9/13 7:24
6,-10.93854359,-37.06283866,1,2014/9/13 7:24
7,-10.93834606,-37.06258756,1,2014/9/13 7:25
8,-10.93844845,-37.06199983,1,2014/9/13 7:25
9,-10.93866607,-37.06149893,1,2014/9/13 7:25
10,-10.93898623,-37.06081922,1,2014/9/13 7:25
11,-10.93934291,-37.0600867,1,2014/9/13 7:25
12,-10.93964144,-37.0595031,1,2014/9/13 7:25
13,-10.93985791,-37.05912132,1,2014/9/13 7:25
14,-10.94007729,-37.058729,1,2014/9/13 7:25
15,-10.9403891,-37.05829088,1,2014/9/13 7:25
16,-10.94074638,-37.05799223,1,2014/9/13 7:25
17,-10.94117939,-37.05763973,1,2014/9/13 7:26
18,-10.9414799,-37.05739138,1,2014/9/13 7:26
19,-10.94153251,-37.05734578,1,2014/9/13 7:26
20,-10.94153251,-37.05734578,1,2014/9/13 7:26
21,-10.94153251,-37.05734578,1,2014/9/13 7:26
22,-10.94153251,-37.05734578,1,2014/9/13 7:26
23,-10.94153251,-37.05734578,1,2014/9/13 7:26
24,-10.94153251,-37.05734578,1,2014/9/13 7:26
25,-10.94153251,-37.05734578,1,2014/9/13 7:26
26,-10.94153251,-37.05734578,1,2014/9/13 7:26
27,-10.94154221,-37.05733795,1,2014/9/13 7:26
28,-10.94174227,-37.05716593,1,2014/9/13 7:27
29,-10.94210007,-37.05683316,1,2014/9/13 7:27
30,-10.9424436,-37.05655106,1,2014/9/13 7:27
31,-10.94278328,-37.05636722,1,2014/9/13 7:27
32,-10.9430484,-37.05620079,1,2014/9/13 7:27
33,-10.94308963,-37.05587927,1,2014/9/13 7:27
34,-10.9431571,-37.0552885,1,2014/9/13 7:27
35,-10.94331306,-37.05466451,1,2014/9/13 7:27
36,-10.94349345,-37.05399063,1,2014/9/13 7:27
37,-10.94373073,-37.05313336,1,2014/9/13 7:27
38,-10.94394907,-37.05233639,1,2014/9/13 7:27
39,-10.94408881,-37.05191634,1,2014/9/13 7:28
40,-10.94411344,-37.05184472,1,2014/9/13 7:28
41,-10.94416466,-37.05164506,1,2014/9/13 7:28
42,-10.9442224,-37.05127819,1,2014/9/13 7:28
43,-10.94411038,-37.05104354,1,2014/9/13 7:28
44,-10.94371495,-37.05100033,1,2014/9/13 7:28
45,-10.94319179,-37.05099926,1,2014/9/13 7:28
46,-10.94266202,-37.050978,1,2014/9/13 7:28
47,-10.94223704,-37.05089977,1,2014/9/13 7:28
48,-10.9418835,-37.05077629,1,2014/9/13 7:28
49,-10.94169743,-37.05070298,1,2014/9/13 7:28
50,-10.94169743,-37.05070298,1,2014/9/13 7:29
51,-10.94169743,-37.05070298,1,2014/9/13 7:29
52,-10.94169743,-37.05070298,1,2014/9/13 7:29
53,-10.94169743,-37.05070298,1,2014/9/13 7:29
54,-10.94169743,-37.05070298,1,2014/9/13 7:29
55,-10.94169743,-37.05070298,1,2014/9/13 7:29
56,-10.94169743,-37.05070298,1,2014/9/13 7:29
57,-10.94169743,-37.05070298,1,2014/9/13 7:29
58,-10.94169743,-37.05070298,1,2014/9/13 7:29
59,-10.94169743,-37.05070298,1,2014/9/13 7:29
60,-10.94169743,-37.05070298,1,2014/9/13 7:29
61,-10.94169743,-37.05070298,1,2014/9/13 7:30
62,-10.94169743,-37.05070298,1,2014/9/13 7:30
63,-10.94169743,-37.05070298,1,2014/9/13 7:30
64,-10.94169743,-37.05070298,1,2014/9/13 7:30
65,-10.94147327,-37.05058755,1,2014/9/13 7:30
66,-10.94138226,-37.05018678,1,2014/9/13 7:30
67,-10.9416644,-37.04977136,1,2014/9/13 7:30
